User-ID;ISBN;Book-Rating
276925;002542730X;10
276925;0316666343;0
276925;0345391810;0
276925;0385504209;8
276925;0679745580;0
276925;0804106304;0
276925;0971880107;0
276964;0345354621;10
276964;0425172546;0
276964;0440220602;9
276964;0684867621;8
276964;0765342987;0
276964;0812550307;10
277042;0060505885;0
277042;0061097101;0
277042;0312283709;8
277042;0312983271;0
277042;0380731851;0
277042;0446605484;7
277042;0446611212;8
277042;0451188454;0
277042;0609804138;9
277042;0671003755;0
277042;0743407067;0
277042;074343627X;8
277042;0971880107;2
277051;0330262130;10
277051;0385720920;10
277051;0393319296;0
277051;0553262505;7
277051;0805062971;0
277051;3257228007;0
277143;0061097101;0
277143;0345342968;9
277143;0345446860;0
277143;0375756981;0
277143;0671027662;0
277143;0767903382;8
277157;034541389X;0
277157;0345452550;7
277157;0380731851;0
277157;0399148639;6
277157;0449221512;0
277157;0670894184;0
277157;0671024094;7
277157;0743486226;7
277157;0971880107;0
277171;0345404114;0
277171;0385479565;0
277171;0451173139;7
277171;0553299506;0
277171;0553580930;9
277171;080410946X;8
277171;0804114986;0
277187;0440224705;0
277187;0515115649;0
277187;0515129941;0
277187;0671042858;0
277187;0679745203;9
277195;0060391626;10
277195;0060502258;0
277195;0060987561;0
277195;0316666343;0
277195;0316734837;0
277195;0330332775;10
277195;0345413881;0
277195;037582233X;0
277195;0385475721;0
277195;0385729332;0
277195;0399142789;0
277195;042511774X;0
277195;0440236673;0
277195;0446604801;0
277195;0446605484;0
277195;0446606189;0
277195;0446606383;0
277195;0446609323;0
277195;0449134482;0
277195;0449223345;0
277195;0553268880;0
277195;0553572997;0
277195;0670869902;10
277195;0671021001;10
277195;0671510053;0
277195;0679459618;0
277195;0679745203;0
277195;0679746048;0
277195;0684841347;0
277195;080410946X;0
277195;0811801802;0
277195;1558743669;0
277378;0312195516;7
277378;0380731851;0
277378;0385474016;0
277378;0446322180;0
277378;0446608955;4
277378;0451137965;0
277378;0553279378;0
277378;0670892963;7
277378;0671028375;0
277378;0671683993;0
277378;0684872153;0
277378;0689817851;0
277378;0749305401;0
277378;0804114986;5
277378;0971880107;0
277427;002542730X;10
277427;006092988X;0
277427;0060930535;0
277427;0060932139;0
277427;0060934417;0
277427;0061009059;9
277427;0061030430;0
277427;006440188X;0
277427;0140067477;0
277427;014029628X;0
277427;014100018X;0
277427;0142001740;0
277427;0310205719;0
277427;0312966091;0
277427;031298328X;0
277427;0316096199;0
277427;0316168688;0
277427;0316284955;0
277427;0316569321;0
277427;0316602051;0
277427;0316666343;0
277427;0316776963;8
277427;0316777730;0
277427;0345311396;0
277427;0345334019;0
277427;0345339681;0
277427;0345361792;0
277427;0345404769;0
277427;0345404777;0
277427;0345404785;0
277427;0345412214;0
277427;0345413903;10
277427;0345436911;0
277427;0373484232;0
277427;0374199698;0
277427;0375703764;0
277427;0375727132;0
277427;0380600129;0
277427;0380702843;8
277427;0380710218;0
277427;0380718332;0
277427;0385424736;9
277427;0385482388;0
277427;0385484518;0
277427;0385486804;9
277427;038548951X;0
277427;0385503857;9
277427;0385504209;8
277427;039304016X;8
277427;0399144463;0
277427;0399145990;0
277427;0399501487;9
277427;0425107469;0
277427;0425113884;0
277427;0425115801;0
277427;0425116840;8
277427;0425121631;0
277427;0425125467;0
277427;0425131769;0
277427;0425133516;9
277427;0425152898;0
277427;0425154092;0
277427;0425155943;0
277427;0425158616;0
277427;0425174271;0
277427;0425175405;0
277427;0439064872;0
277427;0439136369;0
277427;043936213X;0
277427;044011585X;0
277427;0440170796;0
277427;0440173922;0
277427;0440176484;0
277427;0440185327;5
277427;0440193613;0
277427;0440208459;0
277427;0440213991;0
277427;0440217466;0
277427;0440221501;0
277427;0440224764;7
277427;0440225701;0
277427;0440236061;8
277427;0440236703;0
277427;0440236738;9
277427;0440241073;0
277427;0441172717;0
277427;0441627404;10
277427;0446350982;9
277427;0446600415;10
277427;0446602620;0
277427;0446603716;0
277427;0446604801;0
277427;0446607193;0
277427;0446608890;10
277427;0446611212;0
277427;0449221482;0
277427;0449221504;0
277427;0451141083;0
277427;0451169522;0
277427;0451177096;0
277427;0451191153;8
277427;0451202503;0
277427;0451203593;10
277427;0452284449;6
277427;0515128600;0
277427;0515132020;0
277427;0515133302;0
277427;0552137030;8
277427;0552996181;0
277427;0553268880;0
277427;0553271636;0
277427;0553274295;0
277427;0553279556;0
277427;0553280341;0
277427;0553280368;9
277427;0553571656;10
277427;0553571818;0
277427;0553572997;0
277427;0553573926;10
277427;0553582755;0
277427;0553586122;0
277427;0553801430;0
277427;0609804138;0
277427;0671001795;0
277427;067101417X;0
277427;0671016776;0
277427;0671741209;0
277427;0679457313;0
277427;0679459626;0
277427;0679731148;9
277427;0679736042;5
277427;0679751521;0
277427;0684872153;0
277427;0740723367;9
277427;0743406176;8
277427;0743412028;9
277427;0743422910;0
277427;0743457943;8
277427;0749395990;0
277427;0767903382;10
277427;0786866845;10
277427;080410753X;0
277427;0804108749;0
277427;080411918X;0
277427;0811801802;0
277427;0877017883;0
277427;0894803204;0
277427;0894808249;0
277427;0971880107;0
277427;1400031354;0
277427;1400034779;0
277439;0316666343;7
277439;0345452550;5
277439;0385504209;0
277439;0671027360;7
277439;0671038443;0
277466;0312963297;0
277466;0380718340;7
277466;042516098X;0
277466;0425175405;0
277466;044022165X;0
277466;0440226414;7
277466;0446612790;0
277466;0449219364;0
